CHECK input_shape: 284
Check term: 0
Check term: 250
Check term: 500
Check term: 750
Check term: 1000
Check term: 1250
Check term: 1500
Check term: 1750
Check term: 2000
Check term: 2250
Check term: 2500
Check term: 2750
Check term: 3000
Check term: 3250
Check term: 3500
Check term: 3750
Check term: 4000
Check term: 4250
Check term: 4500
Check term: 4750
Check term: 5000
Check term: 5250
Check term: 5500
Check term: 5750
Check term: 6000
Check term: 6250
Check term: 6500
Check term: 6750
Check term: 7000
Check term: 7250
Check term: 7500
Check term: 7750
Check term: 8000
Check term: 8250
Check term: 8500
Check term: 8750
Check term: 9000
Check term: 9250
Check term: 9500
Check term: 9750
Check term: 10000
Check term: 10250
Check term: 10500
Check term: 10750
Check term: 11000
Check term: 11250
Check term: 11500
Check term: 11750
Check term: 12000
Check term: 12250
Check term: 12500
Check term: 12750
Check term: 13000
Check term: 13250
Check term: 13500
Check term: 13750
Check term: 14000
Check term: 14250
Check term: 14500
Check term: 14750
Check term: 15000
Check term: 15250
Check term: 15500
Check term: 15750
Check term: 16000
Check term: 16250
Check term: 16500
Check term: 16750
Check term: 17000
Check term: 17250
Check term: 17500
Check term: 17750
Check term: 18000
Check term: 18250
Check term: 18500
Check term: 18750
Check term: 19000
Check term: 19250
Check term: 19500
Check term: 19750
Check term: 20000
Check term: 20250
Check term: 20500
Check term: 20750
Check term: 21000
Check term: 21250
Check term: 21500
Check term: 21750
Check term: 22000
Check term: 22250
Check term: 22500
Check term: 22750
Check term: 23000
Check term: 23250
Check term: 23500
Check term: 23750
Check term: 24000
Check term: 24250
Check term: 24500
Check term: 24750
Check term: 25000
Check term: 25250
Check term: 25500
Check term: 25750
Check term: 26000
Check term: 26250
Check term: 26500
Check term: 26750
Check term: 27000
Check term: 27250
Check term: 27500
Check term: 27750
Check term: 28000
Check term: 28250
Check term: 28500
Check term: 28750
Check term: 29000
Check term: 29250
Check term: 29500
Check term: 29750
Check term: 30000
Check term: 30250
Check term: 30500
Check term: 30750
Check term: 31000
Check term: 31250
Check term: 31500
Check term: 31750
Check term: 32000
Check term: 32250
Check term: 32500
Check term: 32750
Check term: 33000
Check term: 33250
Check term: 33500
Check term: 33750
Check term: 34000
Check term: 34250
Check term: 34500
Check term: 34750
Check term: 35000
Check term: 35250
Check term: 35500
Check term: 35750
Check term: 36000
Check term: 36250
Check term: 36500
Check term: 36750
Check term: 37000
Check term: 37250
Check term: 37500
Check term: 37750
Check term: 38000
Check term: 38250
Check term: 38500
Check term: 38750
Check term: 39000
Check term: 39250
Check term: 39500
Check term: 39750
Check term: 40000
Check term: 40250
Check term: 40500
Check term: 40750
Check term: 41000
Check term: 41250
Check term: 41500
Check term: 41750
Check term: 42000
Check term: 42250
Check term: 42500
Check term: 42750
Check term: 43000
Check term: 43250
Check term: 43500
Check term: 43750
Check term: 44000
Check term: 44250
Check term: 44500
Check term: 44750
Check term: 45000
Check term: 45250
Check term: 45500
Check term: 45750
Check term: 46000
Check term: 46250
Check term: 46500
Check term: 46750
Check term: 47000
Check term: 47250
Check term: 47500
Check term: 47750
Check term: 48000
Check term: 48250
Check term: 48500
Check term: 48750
Check term: 49000
Check term: 49250
Check term: 49500
Check term: 49750
Check term: 50000
Check term: 50250
Check term: 50500
Check term: 50750
Check term: 51000
Check term: 51250
Check term: 51500
Check term: 51750
Check term: 52000
Check term: 52250
Check term: 52500
Check term: 52750
Check term: 53000
Check term: 53250
Check term: 53500
Check term: 53750
Check term: 54000
Check term: 54250
Check term: 54500
Check term: 54750
Check term: 55000
Check term: 55250
Check term: 55500
Check term: 55750
Check term: 56000
Check term: 56250
Check term: 56500
Check term: 56750
Check term: 57000
Check term: 57250
Check term: 57500
Check term: 57750
Check term: 58000
Check term: 58250
Check term: 58500
Check term: 58750
Check term: 59000
Check term: 59250
Check term: 59500
Check term: 59750
Check term: 60000
Check term: 60250
Check term: 60500
Check term: 60750
Check term: 61000
Check term: 61250
Check term: 61500
Check term: 61750
Check term: 62000
Check term: 62250
Check term: 62500
Check term: 62750
Check term: 63000
Check term: 63250
Check term: 63500
Check term: 63750
Check term: 64000
Check term: 64250
Check term: 64500
Check term: 64750
Check term: 65000
Check term: 65250
Check term: 65500
Check term: 65750
Check term: 66000
Check term: 66250
Check term: 66500
Check term: 66750
Check term: 67000
Check term: 67250
Check term: 67500
Check term: 67750
Check term: 68000
Check term: 68250
Check term: 68500
Check term: 68750
Check term: 69000
Check term: 69250
Check term: 69500
Check term: 69750
Check term: 70000
Check term: 70250
Check term: 70500
Check term: 70750
Check term: 71000
Check term: 71250
Check term: 71500
Check term: 71750
Check term: 72000
Check term: 72250
Check term: 72500
Check term: 72750
Check term: 73000
Check term: 73250
Check term: 73500
Check term: 73750
