Check term: 0
250 250 0.0
750 500 0.0
1500 750 0.0
2500 1000 0.0
3750 1250 0.0
5250 1500 0.0
7000 1750 0.0
9000 2000 0.0
11250 2250 0.0
13750 2500 0.0
16500 2750 0.0
19500 3000 0.0
22750 3250 0.0
26250 3500 0.0
30000 3750 0.0
34000 4000 0.0
38250 4250 0.0
42750 4500 0.0
47500 4750 0.0
52500 5000 0.0
57750 5250 0.0
63250 5500 0.0
69000 5750 0.0
75000 6000 0.0
81250 6250 0.0
87750 6500 0.0
94500 6750 0.0
101500 7000 0.0
108750 7250 0.0
116250 7500 0.0
124000 7750 0.0
132000 8000 0.0
140250 8250 0.0
148750 8500 0.0
157500 8750 0.0
166500 9000 0.0
175750 9250 0.0
185250 9500 0.0
195000 9750 0.0
205000 10000 0.0
215250 10250 0.0
225750 10500 0.0
236500 10750 0.0
247500 11000 0.0
258750 11250 0.0
270250 11500 0.0
282000 11750 0.0
294000 12000 0.0
306250 12250 0.0
318750 12500 0.0
331500 12750 0.0
344500 13000 0.0
357750 13250 0.0
371250 13500 0.0
385000 13750 0.0
399000 14000 0.0
413250 14250 0.0
427750 14500 0.0
442500 14750 0.0
457500 15000 0.0
472750 15250 0.0
488250 15500 0.0
504000 15750 0.0
520000 16000 0.0
536250 16250 0.0
552750 16500 0.0
569500 16750 0.0
586500 17000 0.0
603750 17250 0.0
621250 17500 0.0
639000 17750 0.0
657000 18000 0.0
675250 18250 0.0
693750 18500 0.0
712500 18750 0.0
731500 19000 0.0
750750 19250 0.0
770250 19500 0.0
790000 19750 0.0
810000 20000 0.0
830250 20250 0.0
850750 20500 0.0
871500 20750 0.0
892500 21000 0.0
913750 21250 0.0
935250 21500 0.0
957000 21750 0.0
979000 22000 0.0
1001250 22250 0.0
1023750 22500 0.0
1046500 22750 0.0
1069500 23000 0.0
1092750 23250 0.0
1116250 23500 0.0
1140000 23750 0.0
1164000 24000 0.0
1188250 24250 0.0
1212750 24500 0.0
1237500 24750 0.0
1262500 25000 0.0
cell_counter 4079.8000
go_explore_return 0.0000
traj_length 47.2000
Check term: 1262500
1262750 250 0.0
1263250 500 0.0
1264000 750 0.0
1265000 1000 0.0
1266250 1250 0.0
1267750 1500 0.0
1269500 1750 0.0
1271500 2000 0.0
1273750 2250 0.0
1276250 2500 0.0
1279000 2750 0.0
1282000 3000 0.0
1285250 3250 0.0
1288750 3500 0.0
1292500 3750 0.0
1296500 4000 0.0
1300750 4250 0.0
1305250 4500 0.0
1310000 4750 0.0
1315000 5000 0.0
1320250 5250 0.0
1325750 5500 0.0
1331500 5750 0.0
1337500 6000 0.0
1343750 6250 0.0
1350250 6500 0.0
1357000 6750 0.0
1364000 7000 0.0
1371250 7250 0.0
1378750 7500 0.0
1386500 7750 0.0
1394500 8000 0.0
1402750 8250 0.0
1411250 8500 0.0
1420000 8750 0.0
1429000 9000 0.0
1438250 9250 0.0
1447750 9500 0.0
1457500 9750 0.0
1467500 10000 0.0
1477750 10250 0.0
