Check term: 0
5000 5000 0.0
12122 7122 0.0
21507 9385 0.0
33669 12162 0.0
47972 14303 0.0
64899 16927 0.0
83364 18465 1.0
103564 20200 1.0
125710 22146 1.0
149121 23411 1.0
174204 25083 1.0
200910 26706 1.0
229533 28623 1.0
259863 30330 1.0
291545 31682 1.0
324557 33012 1.0
358886 34329 1.0
395019 36133 1.0
432574 37555 1.0
471860 39286 1.0
512909 41049 1.0
555444 42535 1.0
599271 43827 1.0
644798 45527 1.0
691597 46799 1.0
739886 48289 1.0
790110 50224 1.0
841979 51869 1.0
894585 52606 1.0
948836 54251 1.0
1003900 55064 1.0
1060224 56324 1.0
1117973 57749 1.0
1177233 59260 1.0
1237852 60619 1.0
1299777 61925 1.0
1362589 62812 1.0
1426577 63988 1.0
1492049 65472 1.0
1558781 66732 1.0
1626786 68005 1.0
1695953 69167 1.0
1766774 70821 1.0
1838649 71875 1.0
1912175 73526 1.0
1987206 75031 1.0
2063372 76166 1.0
2140531 77159 1.0
2218847 78316 1.0
2298489 79642 1.0
2379504 81015 1.0
2461424 81920 1.0
2545380 83956 1.0
2630586 85206 1.0
2717328 86742 1.0
2804699 87371 1.0
2893922 89223 1.0
2984787 90865 1.0
3077151 92364 1.0
3170844 93693 1.0
3266325 95481 1.0
3363217 96892 1.0
3461357 98140 1.0
3560906 99549 1.0
3661489 100583 1.0
3763434 101945 1.0
3866930 103496 1.0
3971883 104953 1.0
4077721 105838 1.0
4184628 106907 1.0
4292659 108031 1.0
4401323 108664 1.0
4511401 110078 1.0
4622576 111175 1.0
4734967 112391 1.0
4848489 113522 1.0
4963038 114549 1.0
5078539 115501 1.0
5195132 116593 1.0
5312894 117762 1.0
5431890 118996 1.0
5551879 119989 1.0
5673024 121145 1.0
5794811 121787 1.0
5918113 123302 1.0
6042890 124777 1.0
6168854 125964 1.0
6296101 127247 1.0
6424036 127935 1.0
6553120 129084 1.0
6683857 130737 1.0
6815565 131708 1.0
6948481 132916 1.0
7083023 134542 1.0
7218627 135604 1.0
7355570 136943 1.0
7493491 137921 1.0
7633082 139591 1.0
7773793 140711 1.0
7915920 142127 1.0
8059029 143109 1.0
8202987 143958 1.0
8347858 144871 1.0
8493633 145775 1.0
8641252 147619 1.0
8790334 149082 1.0
8940597 150263 1.0
9092330 151733 1.0
9245855 153525 1.0
9400335 154480 1.0
