Check term: 0
250 250 0.0
750 500 0.0
1500 750 0.0
2500 1000 0.0
3750 1250 0.0
5250 1500 0.0
7000 1750 0.0
9000 2000 0.0
11250 2250 0.0
13750 2500 0.0
16500 2750 0.0
19500 3000 0.0
22750 3250 0.0
26250 3500 0.0
30000 3750 0.0
34000 4000 0.0
38250 4250 0.0
42750 4500 0.0
47500 4750 0.0
52500 5000 0.0
57750 5250 0.0
63250 5500 0.0
69000 5750 0.0
75000 6000 0.0
81250 6250 0.0
87750 6500 0.0
94500 6750 0.0
101500 7000 0.0
108750 7250 0.0
116250 7500 0.0
124000 7750 0.0
132000 8000 0.0
140250 8250 0.0
148750 8500 0.0
157500 8750 0.0
166500 9000 0.0
175750 9250 0.0
185250 9500 0.0
195000 9750 0.0
205000 10000 0.0
215250 10250 0.0
225750 10500 0.0
236500 10750 0.0
247500 11000 0.0
258750 11250 0.0
270250 11500 0.0
282000 11750 0.0
294000 12000 0.0
306250 12250 0.0
318750 12500 0.0
331500 12750 0.0
344500 13000 0.0
357750 13250 0.0
371250 13500 0.0
385000 13750 0.0
399000 14000 0.0
413250 14250 0.0
427750 14500 0.0
442500 14750 0.0
457500 15000 0.0
472750 15250 0.0
488250 15500 0.0
504000 15750 0.0
520000 16000 0.0
536250 16250 0.0
552750 16500 0.0
569500 16750 0.0
586500 17000 0.0
603750 17250 0.0
621250 17500 0.0
639000 17750 0.0
657000 18000 0.0
675250 18250 0.0
693750 18500 0.0
712500 18750 0.0
731500 19000 0.0
750750 19250 0.0
770250 19500 0.0
790000 19750 0.0
810000 20000 0.0
cell_counter 4011.0000
go_explore_return 0.0000
traj_length 75.2000
Check term: 810000
810250 250 0.0
810750 500 0.0
811500 750 0.0
812500 1000 0.0
813750 1250 0.0
815250 1500 0.0
817000 1750 0.0
819000 2000 0.0
821250 2250 0.0
823750 2500 0.0
826500 2750 0.0
829500 3000 0.0
832750 3250 0.0
836250 3500 0.0
840000 3750 0.0
844000 4000 0.0
848250 4250 0.0
852750 4500 0.0
857500 4750 0.0
862500 5000 0.0
867750 5250 0.0
873250 5500 0.0
879000 5750 0.0
885000 6000 0.0
891250 6250 0.0
897750 6500 0.0
904500 6750 0.0
911500 7000 0.0
918750 7250 0.0
926250 7500 0.0
934000 7750 0.0
942000 8000 0.0
950250 8250 0.0
958750 8500 0.0
967500 8750 0.0
976500 9000 0.0
985750 9250 0.0
995250 9500 0.0
1005000 9750 0.0
1015000 10000 0.0
1025250 10250 0.0
1035750 10500 0.0
1046500 10750 0.0
1057500 11000 0.0
1068750 11250 0.0
1080250 11500 0.0
1092000 11750 0.0
1104000 12000 0.0
1116250 12250 0.0
1128750 12500 0.0
1141500 12750 0.0
1154500 13000 0.0
1167750 13250 0.0
1181250 13500 0.0
1195000 13750 0.0
1209000 14000 0.0
1223250 14250 0.0
1237750 14500 0.0
1252500 14750 0.0
1267500 15000 0.0
1282750 15250 0.0
1298250 15500 0.0
1314000 15750 0.0
1330000 16000 0.0
1346250 16250 0.0
1362750 16500 0.0
1379500 16750 0.0
1396500 17000 0.0
1413750 17250 0.0
1431250 17500 0.0
1449000 17750 0.0
1467000 18000 0.0
1485250 18250 0.0
1503750 18500 0.0
1522500 18750 0.0
1541500 19000 0.0
1560750 19250 0.0
1580250 19500 0.0
1600000 19750 0.0
1620000 20000 0.0
cell_counter 3805.6000
go_explore_return 0.0000
traj_length 66.2000
Exiting Main
Stopping all threads
Thread Thread-19 is alive! Is daemon: False
Thread joined
Exiting script
